,index,l,l_rank,l_att_span,l_att_global,l_att_dist,mF1,mF1_u,mAP,lr
29,116000,0.9426170587539673,0.8311605453491211,5.449877738952637,27.801830291748047,0.2915591895580292,0.1344800625488663,0.27132036239417795,0.040144620441831085,0.00040960003389045596
30,120000,0.5163347125053406,0.4504091739654541,5.2759480476379395,8.217730522155762,0.049483172595500946,0.13854573885848315,0.27363730877766224,0.04000464877518538,0.00040960003389045596
31,124000,1.014605164527893,0.8752079010009766,5.1494903564453125,37.32097244262695,0.505813717842102,0.14456606724003127,0.28462795187880585,0.04031352554763813,0.00040960003389045596
32,128000,1.009008526802063,0.8799234628677368,5.655063152313232,31.17334747314453,0.41361117362976074,0.1393666927286943,0.2762512995692856,0.041105228406438356,0.00040960003389045596
33,132000,0.8244615197181702,0.7190486788749695,5.639841079711914,27.218055725097656,0.21796390414237976,0.13635652853792024,0.28284568542997185,0.04089997149269318,0.00032768002711236477
34,136000,0.8882484436035156,0.7578513026237488,5.642480850219727,31.802684783935547,0.42169642448425293,0.14038311180609853,0.29128174662111983,0.041285018881014726,0.00032768002711236477
35,140000,0.9232268929481506,0.8022962808609009,5.552598476409912,38.91712951660156,0.2648754417896271,0.1406958561376075,0.26377543442744694,0.041250441276370044,0.00032768002711236477
36,144000,0.8399724960327148,0.7258816361427307,5.1173624992370605,21.99959373474121,0.4091762602329254,0.14053948397185304,0.29134115550274764,0.04055488115577491,0.00032768002711236477
37,148000,0.6439311504364014,0.549751877784729,5.5255045890808105,19.226146697998047,0.1969808042049408,0.13221266614542612,0.2640130699539581,0.04200657275890741,0.00032768002711236477
38,152000,0.9636303186416626,0.7929222583770752,5.229341983795166,43.82350158691406,0.7459114789962769,0.13842845973416731,0.294549235110649,0.04112420113133189,0.00032768002711236477
39,156000,0.9989532232284546,0.8659133911132812,5.383220672607422,32.23383331298828,0.46973752975463867,0.14053948397185304,0.2894994801722858,0.040335617699117754,0.00032768002711236477
40,160000,1.2050985097885132,1.073479413986206,5.5149006843566895,30.597795486450195,0.4587233066558838,0.14053948397185304,0.2807663745729987,0.04082291992034671,0.00032768002711236477
41,164000,0.7871837615966797,0.5932056903839111,5.151861190795898,50.396697998046875,0.9206275343894958,0.14073494917904614,0.2832021387197386,0.041045908245059284,0.00032768002711236477
42,168000,0.7455350756645203,0.6667119264602661,4.912538051605225,20.081439971923828,0.09616310149431229,0.13635652853792024,0.2741125798306847,0.04116196747316829,0.0002621440216898918
43,172000,0.8157916069030762,0.7048130631446838,5.837011814117432,33.026485443115234,0.1958199292421341,0.14061767005473028,0.28557849398485075,0.04249214489124039,0.0002621440216898918
44,176000,1.1012119054794312,0.957264244556427,5.420125484466553,39.71833038330078,0.5002801418304443,0.13412822517591869,0.27339967325115105,0.041292236612984125,0.0002621440216898918
45,180000,0.860382080078125,0.7512948513031006,5.107221603393555,28.18651008605957,0.2982848882675171,0.14233776387802968,0.29104411109460865,0.041857611113712584,0.0002621440216898918
46,184000,0.9530820846557617,0.8266435861587524,4.918625354766846,38.218074798583984,0.3903418481349945,0.1436669272869429,0.28153869003416016,0.04125341554494126,0.0002621440216898918
47,188000,0.7766292691230774,0.6749287843704224,5.492893695831299,23.072126388549805,0.23699407279491425,0.14292415949960907,0.2935392841229764,0.041732732033099525,0.0002621440216898918
48,192000,0.45238715410232544,0.3755905032157898,5.135220527648926,21.487878799438477,0.039565443992614746,0.12689601250977328,0.24874498737561265,0.0421803526577644,0.00020971521735191345
49,196000,0.9494230151176453,0.7531493902206421,5.4045867919921875,49.952369689941406,0.9227540493011475,0.13784206411258798,0.28189514332392696,0.04141375858530114,0.00020971521735191345
50,199999,0.8874896764755249,0.7780617475509644,4.948363780975342,31.873859405517578,0.28070396184921265,0.13620015637216576,0.2759542551611466,0.04047596427433631,0.00020971521735191345
